Site_Id,Date,SiteName,Longitude,Latitude,param,value
33,2019-10-29,RANDWICK,151.242802,-33.931776,PM10,36.69420833
33,2019-10-29,RANDWICK,151.242802,-33.931776,PM2.5,19.7982
33,2019-10-30,RANDWICK,151.242802,-33.931776,PM10,88.1165
33,2019-10-30,RANDWICK,151.242802,-33.931776,PM2.5,61.95520833
33,2019-10-31,RANDWICK,151.242802,-33.931776,PM10,57.502
33,2019-10-31,RANDWICK,151.242802,-33.931776,PM2.5,42.81354545
33,2019-11-01,RANDWICK,151.242802,-33.931776,PM10,43.48183333
33,2019-11-01,RANDWICK,151.242802,-33.931776,PM2.5,27.68085714
33,2019-11-02,RANDWICK,151.242802,-33.931776,PM10,47.61208333
33,2019-11-02,RANDWICK,151.242802,-33.931776,PM2.5,27.40533333
33,2019-11-03,RANDWICK,151.242802,-33.931776,PM10,56.39052174
33,2019-11-03,RANDWICK,151.242802,-33.931776,PM2.5,28.25766667
33,2019-11-04,RANDWICK,151.242802,-33.931776,PM10,9.665083333
33,2019-11-04,RANDWICK,151.242802,-33.931776,PM2.5,8.7555
33,2019-11-05,RANDWICK,151.242802,-33.931776,PM10,18.49052632
33,2019-11-05,RANDWICK,151.242802,-33.931776,PM2.5,7.800578947
33,2019-11-06,RANDWICK,151.242802,-33.931776,PM10,16.568375
33,2019-11-06,RANDWICK,151.242802,-33.931776,PM2.5,6.177363636
33,2019-11-07,RANDWICK,151.242802,-33.931776,PM10,36.32591667
33,2019-11-07,RANDWICK,151.242802,-33.931776,PM2.5,8.821722222
33,2019-11-08,RANDWICK,151.242802,-33.931776,PM10,29.37520833
33,2019-11-08,RANDWICK,151.242802,-33.931776,PM2.5,7.903111111
33,2019-11-09,RANDWICK,151.242802,-33.931776,PM10,10.64666667
33,2019-11-09,RANDWICK,151.242802,-33.931776,PM2.5,8.990333333
33,2019-11-10,RANDWICK,151.242802,-33.931776,PM10,12.593875
33,2019-11-10,RANDWICK,151.242802,-33.931776,PM2.5,8.82
33,2019-11-11,RANDWICK,151.242802,-33.931776,PM10,37.90891667
33,2019-11-11,RANDWICK,151.242802,-33.931776,PM2.5,17.99543478
33,2019-11-12,RANDWICK,151.242802,-33.931776,PM10,89.32554167
33,2019-11-12,RANDWICK,151.242802,-33.931776,PM2.5,33.582
33,2019-11-13,RANDWICK,151.242802,-33.931776,PM10,20.648125
33,2019-11-13,RANDWICK,151.242802,-33.931776,PM2.5,12.31036842
33,2019-11-14,RANDWICK,151.242802,-33.931776,PM10,22.36883333
33,2019-11-14,RANDWICK,151.242802,-33.931776,PM2.5,8.15825
33,2019-11-15,RANDWICK,151.242802,-33.931776,PM10,47.95333333
33,2019-11-15,RANDWICK,151.242802,-33.931776,PM2.5,23.89359091
33,2019-11-16,RANDWICK,151.242802,-33.931776,PM10,28.63445833
33,2019-11-16,RANDWICK,151.242802,-33.931776,PM2.5,12.52175
33,2019-11-17,RANDWICK,151.242802,-33.931776,PM10,25.21254167
33,2019-11-17,RANDWICK,151.242802,-33.931776,PM2.5,9.4648
33,2019-11-18,RANDWICK,151.242802,-33.931776,PM10,25.54516667
33,2019-11-18,RANDWICK,151.242802,-33.931776,PM2.5,9.646227273
33,2019-11-19,RANDWICK,151.242802,-33.931776,PM10,71.18475
33,2019-11-19,RANDWICK,151.242802,-33.931776,PM2.5,49.54570833
33,2019-11-20,RANDWICK,151.242802,-33.931776,PM10,19.80747619
